image_id,model,min_ssim_value,min_row,min_col,total_rows,total_cols,distance_to_boundary,normalized_distance,is_boundary
00006653_018,model1_TAA_standard,0.1114,0,118,128,128,0,0.0,True
00006653_020,model1_TAA_standard,0.107,88,127,128,128,0,0.0,True
00006660_000,model1_TAA_standard,0.1053,28,0,128,128,0,0.0,True
00006661_000,model1_TAA_standard,0.0755,22,127,128,128,0,0.0,True
00006664_004,model1_TAA_standard,0.1072,127,81,128,128,0,0.0,True
00006670_001,model1_TAA_standard,0.1079,127,81,128,128,0,0.0,True
00006670_005,model1_TAA_standard,0.1112,53,127,128,128,0,0.0,True
00006670_016,model1_TAA_standard,0.1055,0,10,128,128,0,0.0,True
00006673_000,model1_TAA_standard,0.0449,0,9,128,128,0,0.0,True
00006677_000,model1_TAA_standard,0.0532,127,44,128,128,0,0.0,True
00006679_006,model1_TAA_standard,0.0859,77,0,128,128,0,0.0,True
00006679_009,model1_TAA_standard,0.0981,52,0,128,128,0,0.0,True
00006679_011,model1_TAA_standard,-0.0167,0,7,128,128,0,0.0,True
00006679_018,model1_TAA_standard,0.0534,127,13,128,128,0,0.0,True
00006680_000,model1_TAA_standard,0.0816,43,127,128,128,0,0.0,True
00006683_001,model1_TAA_standard,0.1071,0,62,128,128,0,0.0,True
00006683_002,model1_TAA_standard,0.0914,127,11,128,128,0,0.0,True
00006683_003,model1_TAA_standard,0.0908,0,62,128,128,0,0.0,True
